Case,year,year0,rep,Station,istation,depth,lat,long,latx,longy,tots,spp,HP,JP,HB,V,ES2,ES10,ES15,ES50,ES100,ES200,ES500,GD,alpha,mxd,devs,region,period,SandClass,sqrttots,sqrtspp,lnspp,lnalpha,sqrtTOC,MED,Depth (m),% Gravel,% Fines,Disturb
185,1995,3,2,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,777,50,3.515001,0.622801,2.339155,0.62059,1.839068,5.866455,7.464525,14.613386,20.697092,28.317306,41.765585,7.512651,11.928114,0.739841,0.260159,far,pre,LE50,27.87472,7.071068,3.912023,2.478898,1.52,89,39,0,98.5,TRUE
186,1995,3,3,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1167,47,3.696604,0.665505,2.49294,0.664426,1.872995,6.327028,8.05951,15.023082,20.274207,26.580896,36.633101,6.655158,9.819997,0.847268,0.152732,far,pre,LE50,34.161382,6.855655,3.850148,2.284421,1.52,170,39,0,98.5,FALSE
187,1995,3,1,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2529,71,2.746754,0.446645,1.857984,0.443594,1.642235,4.458895,5.792332,12.477308,18.590211,26.306246,39.068136,9.061232,13.566989,0.570051,0.429949,far,pre,G50,50.289164,8.42615,4.26268,2.60764,0.572,79,50,2.9,13.2,TRUE
188,1995,3,2,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,3014,65,1.764875,0.293053,1.188784,0.288909,1.394411,3.064087,3.966511,8.812257,13.558416,20.304478,33.0979,8.11382,11.700629,0.410294,0.589706,far,pre,G50,54.899909,8.062258,4.174387,2.459643,0.572,42,50,2.9,13.2,TRUE
189,1995,3,3,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2429,72,2.358935,0.382328,1.588994,0.378413,1.556774,3.89932,5.026086,10.624622,16.065985,23.835559,38.104716,9.236412,13.935983,0.484093,0.515907,far,pre,G50,49.284886,8.485281,4.276666,2.634474,0.572,103,50,2.9,13.2,TRUE
190,1995,3,1,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,2002,86,4.671521,0.726942,3.160515,0.726674,1.927626,7.591646,10.17958,21.617997,31.323052,42.930906,58.944866,11.312958,18.277102,0.89666,0.10334,near,pre,G50,44.743715,9.273618,4.454347,2.905649,0.704,215,28.7,6.2,31.1,FALSE
191,1995,3,2,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1614,75,4.368621,0.701356,2.946278,0.700512,1.898171,7.110958,9.495287,20.158404,28.87686,39.138409,53.906915,10.153699,16.281395,0.879411,0.120589,near,pre,G50,40.174619,8.660254,4.317488,2.790023,0.704,180,28.7,6.2,31.1,FALSE
192,1995,3,3,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1583,72,4.210218,0.682378,2.838062,0.68103,1.888061,6.860883,9.056846,18.846684,27.334281,37.90457,53.179752,9.773211,15.539044,0.839322,0.160678,near,pre,G50,39.786933,8.485281,4.276666,2.743356,0.704,203,28.7,6.2,31.1,FALSE
193,1995,3,1,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,720,40,2.476377,0.465316,1.636553,0.459302,1.619769,4.203964,5.372673,11.007561,16.214799,22.769189,34.042097,6.079719,9.132356,0.603524,0.396476,far,pre,LE50,26.832816,6.324555,3.688879,2.211824,1.29,5,88.4,0,81.1,TRUE
194,1995,3,2,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,951,38,2.703429,0.515142,1.807415,0.510432,1.650095,4.604514,6.009831,12.363974,17.485464,23.492621,32.029268,5.541367,7.92325,0.710766,0.289234,far,pre,LE50,30.838288,6.164414,3.637586,2.069801,1.29,17,88.4,0,81.1,TRUE
195,1995,3,3,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,1421,47,2.464103,0.443616,1.655113,0.439443,1.59427,4.188192,5.432181,11.237101,16.248044,22.520826,32.336008,6.474617,9.341759,0.607545,0.392455,far,pre,LE50,37.696154,6.855655,3.850148,2.234495,1.29,13,88.4,0,81.1,TRUE
196,1995,3,1,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,2247,58,3.79652,0.648094,2.585951,0.647859,1.881708,6.527099,8.371617,15.51134,20.508714,26.019971,34.880497,7.515532,10.869029,0.807067,0.192933,near,pre,G50,47.402532,7.615773,4.060443,2.385917,0.758,336,23.5,0.8,33.1,FALSE
197,1995,3,2,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,2851,66,3.888994,0.643405,2.652291,0.642758,1.884617,6.547983,8.398521,16.056587,22.219572,29.478721,40.774356,8.296225,12.067752,0.812568,0.187432,near,pre,G50,53.394756,8.124038,4.189655,2.490537,0.758,367,23.5,0.8,33.1,FALSE
198,1995,3,3,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,2327,57,3.605345,0.618106,2.453846,0.616997,1.856211,6.037502,7.652455,14.705773,20.415331,27.06942,37.447002,7.352623,10.555046,0.792055,0.207945,near,pre,G50,48.238988,7.549834,4.043051,2.356604,0.758,375,23.5,0.8,33.1,FALSE
199,1995,3,1,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,768,31,2.774323,0.559994,1.861139,0.557668,1.767024,4.890707,5.94257,9.781523,13.105482,17.732402,26.245793,4.666012,6.480816,0.698888,0.301112,near,pre,G50,27.712813,5.567764,3.433987,1.868846,0.959,137,20.7,0.7,38.9,TRUE
200,1995,3,2,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1167,43,2.790227,0.514208,1.874995,0.510877,1.71205,4.698941,5.924863,11.550197,16.512622,22.555291,31.873676,6.088761,8.780648,0.667459,0.332541,near,pre,G50,34.161382,6.557439,3.7612,2.17255,0.959,121,20.7,0.7,38.9,TRUE
201,1995,3,3,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1165,48,3.292688,0.589563,2.212908,0.586799,1.788812,5.481198,7.035854,13.962364,19.79502,27.064144,37.882737,6.798408,10.089008,0.757418,0.242582,near,pre,G50,34.132096,6.928203,3.871201,2.311447,0.959,199,20.7,0.7,38.9,FALSE
202,1995,3,1,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,609,48,4.054083,0.725893,2.68225,0.724099,1.889768,6.811546,8.93504,18.121968,25.445754,34.227213,46.016846,7.486176,12.217413,0.902055,0.097945,far,pre,LE50,24.677925,6.928203,3.871201,2.502862,1.23,32,73.3,1.5,76,FALSE
203,1995,3,2,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,932,57,4.344434,0.744817,2.908763,0.744818,1.922161,7.394083,9.777727,19.234307,26.041776,34.082997,47.203386,8.336584,13.389252,0.91041,0.08959,far,pre,LE50,30.528675,7.549834,4.043051,2.594452,1.23,52,73.3,1.5,76,FALSE
204,1995,3,3,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,645,53,4.260368,0.74379,2.822238,0.743175,1.914738,7.221678,9.496742,18.837173,26.293612,35.372227,49.281091,8.192603,13.67984,0.896492,0.103508,far,pre,LE50,25.39685,7.28011,3.970292,2.615923,1.23,50,73.3,1.5,76,FALSE
205,1995,3,1,NF02,14,26,42.3385,-70.828167,837943,2949130.5,3369,67,3.644403,0.600783,2.488521,0.599807,1.846795,6.051518,7.7399,15.073332,21.387818,28.949558,39.772075,8.248823,11.851137,0.765976,0.234024,near,pre,G50,58.043087,8.185353,4.204693,2.472424,0.436,245,26,0.8,6.6,FALSE
206,1995,3,1,NF04,16,34,42.4155,-70.8065,844112.4,2977241.3,872,58,3.986562,0.680535,2.657548,0.679041,1.888449,6.635502,8.5606,17.095187,24.57856,33.74171,48.356213,8.566209,13.978751,0.799994,0.200006,near,pre,G50,29.529646,7.615773,4.060443,2.637538,0.3,2,34,0.1,3.2,FALSE
207,1995,3,1,NF05,17,36,42.427,-70.833833,836158.6,2981368.8,2071,77,4.195666,0.669508,2.842396,0.668713,1.894126,6.903935,9.064821,18.359448,26.264628,36.00642,50.562843,10.084095,15.759554,0.815615,0.184385,near,pre,G50,45.508241,8.774964,4.343805,2.757447,0.97,171,36,6.1,27,FALSE
208,1995,3,1,NF07,19,32,42.41,-70.814833,841338.2,2975214.5,1863,79,4.190354,0.664737,2.833902,0.664359,1.90511,6.992509,9.11636,17.879405,24.935253,33.620288,48.914726,10.491447,16.731686,0.767179,0.232821,near,pre,G50,43.162484,8.888194,4.369448,2.817304,0.843,206,32,1.5,34.2,FALSE
209,1995,3,1,NF08,20,28,42.4,-70.8635,828222.6,2971468.3,2301,49,3.357596,0.598,2.287623,0.596776,1.835964,5.718883,7.158804,12.958621,17.582238,23.43489,32.982829,6.329851,8.796182,0.775314,0.224686,near,pre,LE50,47.96874,7,3.89182,2.174318,1.39,655,28,0,85.9,FALSE
210,1995,3,1,NF09,21,29,42.399833,-70.844833,833265,2971445.8,1704,69,4.124945,0.675277,2.787816,0.6743,1.882662,6.782735,8.949222,18.458876,26.116807,35.211654,48.454983,9.273279,14.437032,0.852694,0.147306,near,pre,G50,41.279535,8.306624,4.234107,2.669797,0.775,238,29,3,43.5,FALSE
211,1995,3,1,NF10,22,32.91,42.392833,-70.838167,835085.4,2968908.8,1933,65,3.737377,0.620583,2.532218,0.619324,1.864906,6.180894,7.873372,15.518893,22.020299,29.785019,42.36429,8.590125,12.972226,0.753515,0.246485,near,pre,G50,43.965896,8.062258,4.174387,2.562811,0.812,405,32.9,0,44.6,FALSE
212,1995,3,1,NF12,24,34.93,42.39,-70.8305,837164.6,2967892.5,2207,67,3.84758,0.634277,2.614193,0.63362,1.884807,6.523972,8.325361,15.418285,21.272787,28.713072,41.117479,8.701989,13.042446,0.747808,0.252192,near,pre,LE50,46.978719,8.185353,4.204693,2.568209,0.984,467,34.9,0,69,TRUE
213,1995,3,2,NF12,24,34.93,42.39,-70.8305,837164.6,2967892.5,1893,60,3.552938,0.60149,2.409976,0.600574,1.854696,6.071058,7.667961,13.779962,18.685551,25.201187,36.991586,7.951319,11.802071,0.700382,0.299618,near,pre,LE50,43.50862,7.745967,4.094345,2.468275,0.984,564,34.9,0,69,TRUE
214,1995,3,3,NF12,24,34.93,42.39,-70.8305,837164.6,2967892.5,2126,59,3.779435,0.642472,2.569767,0.641727,1.879931,6.449317,8.218186,15.069306,20.586901,27.544873,38.721616,7.700342,11.243481,0.789391,0.210609,near,pre,LE50,46.108568,7.681146,4.077537,2.419788,0.984,493,34.9,0,69,FALSE
215,1995,3,1,NF13,25,33.82,42.39,-70.8225,839325.8,2967909.8,1149,48,3.878732,0.694496,2.616014,0.693874,1.893645,6.692016,8.585848,15.882963,21.253175,27.700262,37.652833,6.81175,10.125884,0.877764,0.122236,near,pre,G50,33.896903,6.928203,3.871201,2.315095,0.3,0,33.8,0,3.5,FALSE
216,1995,3,1,NF14,26,34.09,42.386667,-70.822667,839290.4,2966694.5,2091,74,3.487371,0.561623,2.358199,0.559549,1.796451,5.673037,7.351101,14.911021,21.676612,30.669276,45.529258,9.679026,14.957645,0.676335,0.323665,near,pre,G50,45.727453,8.602325,4.304065,2.705223,0.686,190,34.1,12,14.3,TRUE
217,1995,3,1,NF15,27,32.67,42.382167,-70.827833,837907.5,2965043.8,2298,66,4.135565,0.684198,2.810035,0.683003,1.857097,6.678709,9.00057,19.915738,28.346123,36.945723,47.516283,8.527358,12.679326,0.905205,0.094795,near,pre,G50,47.937459,8.124038,4.189655,2.539973,0.825,203,32.7,4.8,14,FALSE
218,1995,3,1,NF16,28,31.1,42.378333,-70.837667,835261.6,2963626,1756,69,4.095632,0.670478,2.773135,0.670367,1.908176,6.984281,9.024438,16.800648,23.072285,31.005295,43.666155,9.235966,14.324396,0.774103,0.225897,near,pre,G50,41.904654,8.306624,4.234107,2.661964,0.975,305,31.1,0.2,56.2,FALSE
219,1995,3,1,NF17,29,30.6,42.381333,-70.814833,841422.3,2964768,724,41,3.321419,0.619951,2.213437,0.617342,1.820301,5.649128,7.13923,13.375791,18.461311,25.290646,36.688067,6.226469,9.413165,0.76873,0.23127,near,pre,G50,26.907248,6.403124,3.713572,2.242109,0.265,0,30.6,0,1.5,FALSE
220,1995,3,2,NF17,29,30.6,42.381333,-70.814833,841422.3,2964768,843,57,4.039823,0.692594,2.690116,0.690805,1.864228,6.647675,8.856203,18.840795,26.542409,35.1559,48.111397,8.460781,13.808333,0.870999,0.129001,near,pre,G50,29.034462,7.549834,4.043051,2.625272,0.265,1,30.6,0,1.5,FALSE
221,1995,3,3,NF17,29,30.6,42.381333,-70.814833,841422.3,2964768,682,38,3.520365,0.670811,2.350767,0.669403,1.857894,6.115492,7.749794,14.050003,18.623427,24.413173,34.242315,5.823728,8.683141,0.844963,0.155037,near,pre,G50,26.11513,6.164414,3.637586,2.161383,0.265,0,30.6,0,1.5,FALSE
222,1995,3,1,NF18,30,33.34,42.396683,-70.82185,839344.4,2970309.7,1313,83,3.90533,0.612597,2.606419,0.609505,1.816831,6.12298,8.159506,18.153707,27.540426,39.977109,60.026113,11.559776,19.693007,0.717462,0.282538,near,pre,LE50,36.235342,9.110434,4.418841,2.980264,0.693,98,33.3,29.4,15.1,TRUE
223,1995,3,1,NF19,31,33.21,42.371683,-70.805017,843965.5,2961235.9,2424,77,4.087054,0.652177,2.775718,0.651331,1.887616,6.701905,8.721011,17.686167,25.451787,34.884633,48.81986,9.880441,15.154109,0.797741,0.202259,near,pre,G50,49.234135,8.774964,4.343805,2.718272,0.616,166,33.2,7.3,13.5,FALSE
224,1995,3,1,NF20,32,28.87,42.378167,-70.844833,833325.8,2963550.3,2190,63,3.761444,0.62929,2.555349,0.628206,1.863403,6.29225,8.086305,15.606095,21.739713,29.307551,41.176671,8.190693,12.107619,0.788095,0.211905,near,pre,G50,46.797436,7.937254,4.143135,2.493835,0.812,384,28.9,2.9,37.6,FALSE
225,1995,3,1,NF21,33,30,42.402667,-70.8365,835507.8,2972495.8,1657,68,4.153968,0.682381,2.808595,0.681907,1.90608,7.004634,9.115028,17.528654,24.328945,32.875262,46.70179,9.173366,14.277797,0.813272,0.186728,near,pre,LE50,40.706265,8.246211,4.219508,2.658706,1.2,227,30,0,77.2,FALSE
226,1995,3,1,NF22,34,30,42.347833,-70.815,841475.4,2952560,1887,50,3.817568,0.676411,2.596132,0.675736,1.883993,6.547276,8.392703,15.691586,21.114957,27.103814,35.763131,6.628888,9.426481,0.903742,0.096258,near,pre,LE50,43.439613,7.071068,3.912023,2.243523,1.13,439,30,0.1,69.7,FALSE
227,1995,3,1,NF23,35,36,42.397667,-70.801667,844930.8,2970749,2151,80,4.383094,0.693316,2.970989,0.692754,1.910863,7.189778,9.503008,19.580685,27.966332,38.120257,53.228962,10.425235,16.374899,0.854168,0.145832,near,pre,G50,46.378875,8.944272,4.382027,2.79575,0.361,6,36,0.1,1.5,FALSE
228,1995,3,1,NF24,36,37,42.3805,-70.801667,844982.1,2964493.3,688,50,3.863743,0.684593,2.565403,0.68317,1.883708,6.564295,8.439786,16.025631,22.412635,31.111597,45.308076,7.652528,12.393105,0.802059,0.197941,near,pre,LE50,26.229754,7.071068,3.912023,2.51714,1.66,44,37,0,90,FALSE
229,1995,3,2,NF24,36,37,42.3805,-70.801667,844982.1,2964493.3,1371,61,3.840778,0.647606,2.588384,0.646507,1.874359,6.489055,8.362681,15.773548,21.735873,29.813117,43.894279,8.444899,13.086777,0.76297,0.23703,near,pre,LE50,37.027017,7.81025,4.110874,2.571602,1.66,80,37,0,90,FALSE
230,1995,3,3,NF24,36,37,42.3805,-70.801667,844982.1,2964493.3,1853,61,3.843895,0.648131,2.606162,0.647213,1.879184,6.473648,8.304146,15.813938,21.907389,29.599852,41.711491,8.106785,12.110352,0.800064,0.199936,near,pre,LE50,43.046487,7.81025,4.110874,2.494061,1.66,112,37,0,90,FALSE
231,1996,4,1,FF1A,12,35,42.564,-70.675833,878332.8,3031666.5,2009,71,3.020736,0.491197,2.033526,0.487276,1.63865,4.750338,6.407044,15.246201,23.24952,32.848302,46.674838,9.335482,14.346284,0.623668,0.376332,far,pre,G50,44.82187,8.42615,4.26268,2.663491,0.779,50,35,0.2,20.95,TRUE
232,1996,4,2,FF1A,12,35,42.564,-70.675833,878332.8,3031666.5,2316,75,3.151776,0.505999,2.127066,0.502363,1.681128,4.956199,6.597296,14.923758,22.790034,33.42334,50.339113,9.680421,14.82997,0.636247,0.363753,far,pre,G50,48.124838,8.660254,4.317488,2.69665,0.779,53,35,0.2,20.95,TRUE
233,1996,4,3,FF1A,12,35,42.564,-70.675833,878332.8,3031666.5,2111,77,2.931543,0.46779,1.970586,0.463463,1.617474,4.582789,6.16469,14.675652,22.653703,32.771357,48.950154,10.058894,15.683148,0.587387,0.412613,far,pre,G50,45.94562,8.774964,4.343805,2.752587,0.779,78,35,0.2,20.95,TRUE
234,1996,4,1,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,518,46,4.226045,0.765094,2.791217,0.765565,1.92148,7.344406,9.657726,18.389567,24.4917,32.011542,45.402268,7.360029,12.194209,0.905014,0.094986,far,pre,LE50,22.759613,6.78233,3.828641,2.500961,1.53,55,90,0,87.5,FALSE
235,1996,4,2,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,445,49,4.293044,0.764607,2.812243,0.764892,1.922958,7.387117,9.741783,18.997712,26.102925,35.22138,0,8.035324,14.055625,0.885601,0.114399,far,pre,LE50,21.095023,7,3.89182,2.643023,1.53,70,90,0,87.5,FALSE
236,1996,4,3,FF04,2,90,42.288333,-70.425,947172.8,2931967.5,502,41,4.110914,0.767312,2.717183,0.766892,1.909035,7.136649,9.371759,18.028367,24.050678,30.776362,40.952144,6.593124,10.560841,1.037996,0.037996,far,pre,LE50,22.405357,6.403124,3.713572,2.357153,1.53,41,90,0,87.5,FALSE
237,1996,4,1,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,568,59,4.538767,0.771552,2.98484,0.771364,1.919318,7.529605,10.168219,21.822273,30.593063,40.459132,56.472767,9.302881,16.553182,0.946621,0.053379,far,pre,LE50,23.832751,7.681146,4.077537,2.806578,1.03,55,65,0.05,53.7,FALSE
238,1996,4,2,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,617,67,4.543778,0.749046,2.981357,0.747363,1.909002,7.286199,9.799136,22.175573,33.156787,45.723077,62.875291,10.428228,19.116468,0.877862,0.122138,far,pre,LE50,24.839485,8.185353,4.204693,2.95055,1.03,104,65,0.05,53.7,FALSE
239,1996,4,3,FF05,3,65,42.133333,-70.4225,948563.8,2875497.3,1025,70,4.426651,0.722214,2.960345,0.722483,1.91614,7.410261,9.910596,20.101618,27.339893,36.125851,52.595772,10.097443,17.010656,0.8289,0.1711,far,pre,LE50,32.015621,8.3666,4.248495,2.83384,1.03,65,65,0.05,53.7,FALSE
240,1996,4,1,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1086,71,4.719991,0.76751,3.159396,0.767454,1.940248,7.844606,10.545117,21.677077,30.66362,41.88689,58.49139,10.156995,17.020772,0.926997,0.073003,far,pre,LE50,32.954514,8.42615,4.26268,2.834434,1.19,125,35,0,63.25,FALSE
241,1996,4,2,FF06,4,35,41.898333,-70.403333,954864.8,2789937,846,57,4.455544,0.763866,2.973045,0.763365,1.923245,7.487762,9.988842,20.364519,28.304,37.547331,50.293307,8.456322,13.793002,0.964669,0.035331,far,pre,LE50,29.086079,7.549834,4.043051,2.624161,1.19,72,35,0,63.25,FALSE
242,1996,4,3,FF06,4,35,41.898333,-70.403333,954864.8,2789937,1062,69,4.656038,0.76222,3.118544,0.762685,1.941923,7.855973,10.523816,20.875854,28.934324,39.284573,54.903855,9.90254,16.509563,0.896904,0.103096,far,pre,LE50,32.588341,8.306624,4.234107,2.80394,1.19,115,35,0,63.25,FALSE
243,1996,4,1,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1470,63,4.08906,0.6841,2.758766,0.683031,1.881312,6.791114,8.965154,18.190273,25.331759,33.907016,46.917367,8.6384,13.380729,0.873654,0.126346,far,pre,LE50,38.340579,7.937254,4.143135,2.593816,1.56,158,39,0.05,81.3,FALSE
244,1996,4,2,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1869,61,3.761147,0.634179,2.549906,0.63315,1.858083,6.360741,8.251947,15.692072,21.211394,28.314956,40.51129,8.097533,12.084831,0.787886,0.212114,far,pre,LE50,43.231933,7.81025,4.110874,2.491951,1.56,218,39,0.05,81.3,FALSE
245,1996,4,3,FF07,5,39,41.958333,-70.266667,991752.3,2812306.8,1309,58,3.752437,0.640568,2.526909,0.639121,1.843781,6.288831,8.239845,16.291211,22.364161,29.827118,42.107398,8.08135,12.429234,0.811412,0.188588,far,pre,LE50,36.180105,7.615773,4.060443,2.520051,1.56,116,39,0.05,81.3,FALSE
246,1996,4,1,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,1883,73,3.103345,0.501362,2.087317,0.497682,1.686953,4.938714,6.532566,14.530097,21.865835,31.267311,46.642788,9.6809,15.102052,0.625315,0.374686,far,pre,G50,43.393548,8.544004,4.290459,2.714831,0.585,75,50,0.15,16.1,TRUE
247,1996,4,2,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2850,81,2.659457,0.419483,1.796291,0.415873,1.592429,4.263875,5.612377,12.502033,19.054117,27.97284,43.755079,10.18218,15.522556,0.532459,0.467541,far,pre,G50,53.385391,9,4.394449,2.742294,0.585,88,50,0.15,16.1,TRUE
248,1996,4,3,FF09,6,50,42.3125,-70.656667,884403.8,2940068.5,2440,81,3.083102,0.486305,2.082865,0.483348,1.701511,4.880869,6.364484,13.964514,21.198123,30.453882,45.191576,10.384944,16.114157,0.59095,0.40905,far,pre,G50,49.396356,9,4.394449,2.779698,0.585,56,50,0.15,16.1,TRUE
249,1996,4,1,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,2594,84,4.50442,0.704662,3.063118,0.704611,1.930428,7.55972,10.02056,19.627812,27.023499,36.361165,51.663845,10.685723,16.609441,0.834846,0.165154,near,pre,G50,50.931326,9.165151,4.430817,2.809971,0.723,122,28.7,3.4,27.8,FALSE
250,1996,4,2,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1954,78,4.655028,0.740609,3.152818,0.74045,1.929277,7.651498,10.294856,21.757653,30.544899,40.30338,54.658359,10.293451,16.259286,0.952462,0.047538,near,pre,G50,44.204072,8.831761,4.356709,2.788664,0.723,168,28.7,3.4,27.8,FALSE
251,1996,4,3,FF10,7,28.71,42.414,-70.878667,824088.8,2976539.8,1843,82,4.570317,0.71888,3.089607,0.718726,1.924304,7.513448,10.039553,20.86346,29.604153,39.874684,55.327513,10.905488,17.592018,0.880581,0.119419,near,pre,G50,42.930176,9.055385,4.406719,2.867445,0.723,166,28.7,3.4,27.8,FALSE
252,1996,4,1,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,1406,65,3.161214,0.524912,2.117729,0.521139,1.706451,5.109191,6.763649,14.719172,21.597746,30.311087,44.809212,8.967367,14.090741,0.660941,0.339059,far,pre,LE50,37.496667,8.062258,4.174387,2.645518,1.39,23,88.4,0,76.1,TRUE
253,1996,4,2,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,1171,47,2.767344,0.498209,1.85694,0.494875,1.72983,4.583984,5.700335,10.979776,15.70466,22.037149,33.5747,6.651935,9.811223,0.606076,0.393924,far,pre,LE50,34.219877,6.855655,3.850148,2.283527,1.39,21,88.4,0,76.1,TRUE
254,1996,4,3,FF11,8,88.42,42.658333,-70.5,925297.4,3066550.5,2397,50,2.61706,0.463701,1.776823,0.46098,1.632007,4.443885,5.768311,11.672864,16.399748,22.267891,31.854822,6.425106,8.935486,0.655873,0.344127,far,pre,LE50,48.959167,7.071068,3.912023,2.190031,1.39,56,88.4,0,76.1,TRUE
255,1996,4,1,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,3195,75,3.963722,0.636352,2.704904,0.635951,1.894542,6.716186,8.623779,16.134251,22.113047,29.393534,41.41946,9.294438,13.755986,0.760048,0.239952,near,pre,G50,56.524331,8.660254,4.317488,2.621474,0.807,342,23.5,5.1,29.4,FALSE
256,1996,4,2,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,2540,66,3.532469,0.584421,2.403155,0.583273,1.84651,5.903581,7.434956,13.992343,19.717171,26.878071,38.749274,8.418454,12.387075,0.69808,0.30192,near,pre,G50,50.398413,8.124038,4.189655,2.516654,0.807,248,23.5,5.1,29.4,TRUE
257,1996,4,3,FF12,9,23.47,42.39,-70.899667,818479.6,2967753.3,3209,62,3.633279,0.610205,2.482045,0.60943,1.866902,6.197776,7.824209,14.119174,19.171038,25.742271,36.685637,7.679241,10.899346,0.750578,0.249422,near,pre,G50,56.648036,7.874008,4.127134,2.388703,0.807,283,23.5,5.1,29.4,FALSE
258,1996,4,1,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,2421,50,3.834299,0.679376,2.617175,0.678925,1.8844,6.655457,8.600445,15.688143,20.260195,25.655227,34.283211,6.416891,8.916247,0.905468,0.094532,near,pre,G50,49.203658,7.071068,3.912023,2.187875,1.21,152,20.7,0.8,51.25,FALSE
259,1996,4,2,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,1943,54,3.663782,0.636638,2.489714,0.635779,1.87378,6.284981,7.941342,14.334975,19.308098,25.644706,36.460547,7.131548,10.294149,0.785316,0.214684,near,pre,G50,44.079474,7.348469,3.988984,2.331576,1.21,121,20.7,0.8,51.25,FALSE
260,1996,4,3,FF13,10,20.73,42.319833,-70.823,839394,2942339.5,2667,56,4.293195,0.739269,2.933017,0.739311,1.926261,7.453424,9.824798,18.40089,23.865151,29.842696,38.600055,7.098753,10.022059,1.074432,0.074432,near,pre,G50,51.643005,7.483315,4.025352,2.304789,1.21,176,20.7,0.8,51.25,FALSE
261,1996,4,1,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,557,58,4.703509,0.802923,3.095617,0.803606,1.941452,7.914175,10.702501,22.358382,31.003561,40.956945,56.23474,9.173492,16.287649,0.967709,0.032291,far,pre,LE50,23.600847,7.615773,4.060443,2.790407,1.21,27,73.3,0.18,70.8,FALSE
262,1996,4,2,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,1005,75,4.816975,0.773337,3.21472,0.773639,1.936895,7.871836,10.703492,23.32263,33.030512,43.853068,60.297673,10.849528,18.749782,0.952042,0.047958,far,pre,LE50,31.701735,8.660254,4.317488,2.931182,1.21,48,73.3,0.18,70.8,FALSE
263,1996,4,3,FF14,11,73.31,42.416667,-70.654833,884523,2978031.8,1151,61,4.394077,0.740899,2.952153,0.740296,1.916771,7.340388,9.759471,19.98523,27.655063,36.412074,49.775419,8.654463,13.73861,0.947743,0.052257,far,pre,LE50,33.926391,7.81025,4.110874,2.62021,1.21,61,73.3,0.18,70.8,FALSE
264,1996,4,1,NF02,14,26,42.3385,-70.828167,837943,2949130.5,2467,70,4.059437,0.662302,2.76267,0.661924,1.896184,6.858232,8.929846,17.176923,23.282236,30.564668,42.539727,8.961998,13.409383,0.81322,0.18678,near,pre,G50,49.668904,8.3666,4.248495,2.595955,0.562,191,26,0.2,9.7,FALSE
265,1996,4,1,NF04,16,34,42.4155,-70.8065,844112.4,2977241.3,1865,58,2.816711,0.480833,1.903377,0.478203,1.710221,4.766329,6.024692,11.206127,15.653471,22.100052,34.469271,7.701484,11.356239,0.586266,0.413734,near,pre,G50,43.185646,7.615773,4.060443,2.429767,0.257,5,34,0.1,4.6,TRUE
266,1996,4,1,NF05,17,36,42.427,-70.833833,836158.6,2981368.8,1508,91,4.578039,0.70347,3.071473,0.702374,1.914062,7.32352,9.770978,20.905077,30.992879,44.479325,66.208378,12.434175,21.289895,0.812791,0.187209,near,pre,G50,38.832976,9.539392,4.51086,3.058233,1.05,123,36,5.4,31.2,FALSE
